id	species	pol
364	chi	Dialictus_sp2
365	alb	Liphantus_sp
366	alb	Liphantus_sp
367	alb	Liphantus_sp
368	alb	Liphantus_sp
369	alb	Liphantus_sp
370	alb	Liphantus_sp
371	alb	Liphantus_sp
372	alb	Liphantus_sp
373	alb	Liphantus_sp
374	alb	Liphantus_sp
375	alb	Liphantus_sp
376	alb	Liphantus_sp
377	alb	Liphantus_sp
378	alb	Liphantus_sp
379	alb	Liphantus_sp
380	alb	Liphantus_sp
381	alb	Liphantus_sp
382	alb	Liphantus_sp
383	alb	Liphantus_sp
384	alb	Liphantus_sp
385	alb	Liphantus_sp
386	alb	Liphantus_sp
387	alb	Liphantus_sp
388	alb	Liphantus_sp
389	alb	Liphantus_sp
390	alb	Liphantus_sp
391	alb	Liphantus_sp
392	alb	Liphantus_sp
393	alb	Liphantus_sp
394	alb	Liphantus_sp
395	alb	Liphantus_sp
396	alb	Liphantus_sp
397	alb	Liphantus_sp
398	alb	Liphantus_sp
399	alb	Liphantus_sp
400	alb	Liphantus_sp
401	alb	Liphantus_sp
402	alb	Liphantus_sp
403	alb	Liphantus_sp
404	alb	Liphantus_sp
405	alb	Liphantus_sp
406	alb	Liphantus_sp
407	alb	Liphantus_sp
408	alb	Liphantus_sp
409	alb	Liphantus_sp
410	alb	Liphantus_sp
411	alb	Liphantus_sp
412	alb	Liphantus_sp
413	alb	Liphantus_sp
414	alb	Liphantus_sp
415	alb	Liphantus_sp
416	alb	Liphantus_sp
417	alb	Liphantus_sp
418	alb	Liphantus_sp
419	alb	Liphantus_sp
420	alb	Liphantus_sp
421	alb	Liphantus_sp
422	alb	Liphantus_sp
423	alb	Liphantus_sp
424	alb	Liphantus_sp
425	alb	Liphantus_sp
426	alb	Liphantus_sp
427	alb	Liphantus_sp
428	alb	Liphantus_sp
429	alb	Liphantus_sp
430	alb	Liphantus_sp
431	alb	Liphantus_sp
432	alb	Liphantus_sp
433	alb	Liphantus_sp
434	alb	Liphantus_sp
435	chi	Liphantus_sp
436	chi	Liphantus_sp
437	chi	Liphantus_sp
438	chi	Liphantus_sp
439	chi	Liphantus_sp
440	chi	Liphantus_sp
441	chi	Liphantus_sp
442	chi	Liphantus_sp
443	chi	Liphantus_sp
444	chi	Liphantus_sp
445	chi	Liphantus_sp
446	chi	Liphantus_sp
447	chi	Liphantus_sp
448	chi	Liphantus_sp
449	chi	Liphantus_sp
450	chi	Liphantus_sp
451	chi	Liphantus_sp
452	chi	Liphantus_sp
453	chi	Liphantus_sp
454	chi	Liphantus_sp
455	chi	Liphantus_sp
456	chi	Liphantus_sp
457	chi	Liphantus_sp
458	chi	Liphantus_sp
459	chi	Liphantus_sp
460	chi	Liphantus_sp
461	chi	Liphantus_sp
462	chi	Liphantus_sp
